Id,SalePrice
1461,112938.11028452998
1462,153332.9840741109
1463,180068.00996514485
1464,200666.03852013627
1465,189094.04571597817
1466,171291.53442572607
1467,178497.5272769371
1468,163216.1064509708
1469,195061.64600847915
1470,116760.32671715225
1471,177615.6903704923
1472,101016.97900446948
1473,95908.75464390927
1474,143903.0328295537
1475,112547.89827833368
1476,361735.0003637683
1477,243206.7520134189
1478,277418.5327610263
1479,275015.10512682603
1480,536511.0559921929
1481,328543.5740610599
1482,205751.2579356143
1483,172607.42768758573
1484,163698.87949236025
1485,184015.29285687793
1486,192921.08914311204
1487,329217.72838363214
1488,234970.0014528361
1489,189198.98140123795
1490,238016.66889394593
1491,190619.9505125448
1492,88347.73561589944
1493,179126.89686787085
1494,285040.0150341949
1495,280894.91029766225
1496,231751.7591687844
1497,183276.4769437367
1498,173732.11238872114
1499,161815.74750253893
1500,155937.3967089405
1501,177767.1852995885
1502,153920.805346667
1503,285541.77052428556
1504,243823.38937424138
1505,228178.092222795
1506,191202.13265658857
1507,262698.07062073925
1508,195575.8505242877
1509,156921.3512385887
1510,143737.6399094606
1511,156801.28844308705
1512,173617.58071430706
1513,144471.34427890417
1514,158272.6708448345
1515,197094.37731000717
1516,152354.9181541016
1517,175357.51586275516
1518,131382.07308582004
1519,212185.57819855306
1520,125305.26307836243
1521,130511.52610853472
1522,173387.32539452
1523,111524.10236083268
1524,122040.56023993867
1525,119559.72955013938
1526,107254.44821934916
1527,107875.58086745297
1528,139070.46128323977
1529,151053.8556183236
1530,201806.31837595237
1531,106725.86743746026
1532,99741.74367925174
1533,149806.2613805634
1534,126541.41004359206
1535,146934.8734107888
1536,106774.65152723268
1537,59011.19419857474
1538,143091.86296072658
1539,181331.1112326028
1540,89558.77373810815
1541,133292.94122546937
1542,141272.29407875726
1543,188161.42401950012
1544,88590.52315463153
1545,116011.77684642933
1546,131130.3803158507
1547,127464.0929482776
1548,138608.73191936442
1549,120681.36368831377
1550,131133.2338825739
1551,110873.61898816233
1552,133188.63792781017
1553,134563.9485940619
1554,121115.11909100939
1555,158738.00414892743
1556,83527.48116745
1557,99112.24644619903
1558,106134.4810790971
1559,74365.33293657762
1560,128087.77900192494
1561,116734.49894189242
1562,130919.35021292964
1563,121239.7533861307
1564,160095.38957716935
1565,141849.12886773018
1566,236928.97057523002
1567,79663.32295748453
1568,236191.48652132755
1569,128600.63335269774
1570,134086.16874003696
1571,116398.32063789347
1572,145801.40827707594
1573,235128.2942976994
1574,119019.64489912937
1575,234507.88382205434
1576,248626.87644269894
1577,179099.93212387306
1578,141929.26289952078
1579,143275.086891948
1580,195945.10250004285
1581,151426.9038513691
1582,124592.33197679046
1583,305108.3295679956
1584,221310.55626994843
1585,137224.396877533
1586,75935.45872483173
1587,105826.5761236591
1588,154715.98515203473
1589,96187.97620144907
1590,137726.02022690437
1591,92650.29897340297
1592,120564.81286397224
1593,126297.13528404542
1594,131374.0184129477
1595,103635.23447900056
1596,221108.95940479843
1597,194529.56655092433
1598,220380.2734743807
1599,167537.98877355581
1600,155858.57013526792
1601,68034.33223825687
1602,111497.00089561143
1603,78042.27791980447
1604,268252.19446777314
1605,239367.64409696427
1606,164165.29725872984
1607,183240.66898922136
1608,208898.82374279597
1609,178526.9504692519
1610,149020.78045386766
1611,132680.5343017047
1612,169066.06240922594
1613,167031.8524718141
1614,120830.36623210524
1615,92040.55564291088
1616,79604.71491471642
1617,96245.79286377311
1618,130090.258682743
1619,140655.38311873047
1620,165157.5816790224
1621,132300.0919487117
1622,142747.91355214894
1623,259628.67594935067
1624,209085.5059763896
1625,117601.27510664215
1626,169920.40740337627
1627,195490.3317660433
1628,282325.9195504972
1629,174838.34575454216
1630,378243.15162273846
1631,216257.23433838703
1632,235361.58961773512
1633,173030.43993928272
1634,186233.4838791997
1635,172198.84463030627
1636,150694.44030293846
1637,206082.3286028901
1638,176666.27039344818
1639,187572.86899597495
1640,258100.99961330823
1641,180541.041412238
1642,234550.16690578786
1643,214084.2033600341
1644,234166.3249557161
1645,217162.60631093677
1646,155302.81304152298
1647,158190.08087769416
1648,130372.75763214045
1649,141094.55033644545
1650,114546.08245711592
1651,120868.44466540411
1652,101434.50936828845
1653,102831.17584091073
1654,145663.40451941942
1655,131024.57693206977
1656,137445.89432469456
1657,147260.54303573474
1658,144945.14403211515
1659,123974.93233363614
1660,153070.94751104605
1661,453631.20139068837
1662,413254.013659066
1663,376000.070712841
1664,563008.4014065976
1665,299079.15867871844
1666,327692.0013618511
1667,376702.3873300391
1668,333763.9415829278
1669,296036.85531293385
1670,331039.1219415409
1671,267300.09758208314
1672,449456.0877304532
1673,292232.8578615848
1674,239778.47734458346
1675,194821.36246100246
1676,192345.45969215105
1677,216676.57332493825
1678,506622.34154936846
1679,401185.06134354306
1680,318023.6929836234
1681,233529.06271580022
1682,315870.52631582785
